Node,Community,Name
172,6.0,FT_T_maG_5
173,6.0,FT_T_maG_6
174,6.0,FT_T_maG_7
175,6.0,FT_T_mdG_L1
176,6.0,FT_T_mdG_L2
177,6.0,FT_T_mdG_L3
178,6.0,FT_T_mdG_L4
179,6.0,FT_T_mdG_L5
180,6.0,FT_T_mdG_L6
181,6.0,FT_T_mdG_L7
182,6.0,FT_T_mdG_T1
183,6.0,FT_T_mdG_T2
184,6.0,FT_T_mdG_T3
185,6.0,FT_T_mdG_T4
186,6.0,FT_T_mdG_T5
187,6.0,FT_T_mdG_T6
188,6.0,FT_T_vaG_1
189,6.0,FT_T_vaG_2
190,6.0,FT_T_vaG_3
191,6.0,FT_T_vaG_4
192,6.0,FT_T_vaG_5
193,6.0,FT_T_vaG_6
194,6.0,FT_T_vaG_7
195,6.0,FT_T_vmG_1
196,6.0,FT_T_vmG_2
197,6.0,FT_T_vmG_3
198,6.0,FT_T_vmG_4
199,6.0,FT_T_vmG_5
200,6.0,FT_T_vmG_6
201,6.0,FT_T_vmG_7
202,6.0,FT_T_vpG_1
203,6.0,FT_T_vpG_2
204,6.0,FT_T_vpG_3
205,6.0,FT_T_vpG_4
206,6.0,FT_T_vpG_5
207,6.0,FT_T_vpG_6
208,6.0,FT_T_vpG_7
209,2.0,T_16119_0_1
210,3.0,T_16119_0_2
211,1.0,T_16119_2_1
212,5.0,T_16119_2_2
213,2.0,T_16119_2_3
214,3.0,T_16119_2_4
215,0.0,T_16119_3_1
217,3.0,T_16119_5_2
218,11.0,T_16119_5_3
219,0.0,T_16119_5_4
220,1.0,T_16119_5_5
221,0.0,T_16119_5_6
222,6.0,T_16119_5_7
223,0.0,T_16119_5_8
224,0.0,T_16119_5_9
225,3.0,T_16119_6_1
226,2.0,T_16119_6_2
228,3.0,T_16119_7_1_1
229,6.0,T_16119_8_1
230,3.0,T_16119_9_1
231,5.0,T_16119_9_2
232,1.0,T_16119_9_3
233,1.0,T_16119_9_4
234,1.0,T_16119_10_1
235,0.0,T_16119_10_2
236,1.0,T_16119_10_3
237,1.0,T_16119_10_4
238,2.0,T_16119_10_5
239,2.0,T_16119_10_6
240,0.0,T_16119_11_1
241,1.0,T_16119_11_2
242,2.0,T_16119_11_3
243,5.0,T_16119_12_1
244,1.0,T_16119_12_2
245,1.0,T_16119_13_1
246,5.0,T_16119_13_2
247,3.0,T_16119_13_3
248,4.0,T_16119_13_4
249,2.0,T_16119_13_5
250,2.0,T_16119_13_6
251,2.0,T_16119_13_7
253,0.0,T_16119_14_2
254,11.0,T_16119_14_3
255,0.0,T_16119_14_4
256,0.0,T_16119_14_5
257,0.0,T_16119_15_1
258,2.0,T_16119_15_2
259,0.0,T_16119_15_3
260,1.0,T_16119_15_5
261,5.0,T_16119_16_1
262,2.0,T_16119_16_2
263,4.0,T_16119_18_1
264,2.0,T_16119_19_1
265,0.0,T_16119_19_2
267,1.0,T_16119_20_2
268,5.0,T_16119_20_3
269,3.0,T_16119_20_4_CHECK
270,6.0,T_16119_21_1
271,1.0,T_16119_21_2
272,3.0,T_16119_21_3
273,2.0,T_18116_1_1
274,5.0,T_18116_1_2
275,1.0,T_18116_1_3
276,5.0,T_18116_2_1
277,4.0,T_18116_5_1
278,2.0,T_18116_6_1
279,0.0,T_18116_8_1
280,0.0,T_18116_9_1_soma_in_SC
281,0.0,T_150304_1_2
282,0.0,T_150304_1_2b
283,0.0,T_150304_1_3
284,0.0,T_150304_2_1_a
285,2.0,T_150304_2_1_b
286,2.0,T_150304_2_1_c
287,5.0,T_150304_2_3_a
288,2.0,T_150304_2_3_d
289,0.0,T_150304_2_4
290,2.0,T_150304_4_1
291,3.0,T_150304_4_2
292,3.0,T_150304_4_3
293,2.0,T_150317_1_1_full_tracing
294,6.0,T_150317_2_1_full_tracing
295,3.0,T_150317_2_2_full_tracing
296,2.0,T_150317_2_2b_full_tracing
297,2.0,T_150317_3_1_full_tracing
298,1.0,T_150317_4_1_full_tracing
299,1.0,T_150317_5_2_full_tracing
300,5.0,T_150324_fixed_1_2_full_tracing
301,0.0,T_150324_fixed_1_3_full_tracing
302,3.0,T_150324_fixed_2_2_full_tracing
303,2.0,T_150324_fixed_2_3_full_tracing
304,4.0,T_150324_fixed_2_4_full_tracing
305,2.0,T_150324_fixed_2_5_full_tracing
306,2.0,T_150324_fixed_3_2_full_tracing
307,6.0,T_150324_fixed_4_1_full_tracing
308,0.0,T_150324_fixed_4_2_full_tracing
309,7.0,T_150324_fixed_4_3_full_tracing
310,0.0,T_150324_fixed_4_5_full_tracing
311,0.0,T_150324_fixed_5_2_full_tracing
312,6.0,T_150324_fixed_5_3_full_tracing
313,6.0,T_150324_fixed_8_1a_full_tracing
314,5.0,T_150324_fixed_8_1b_full_tracing
315,2.0,T_150324_fixed_9_2_full_tracing
316,2.0,T_150324_fixed_10_2_full_tracing
317,3.0,T_150324_fixed_11_2_full_tracing
318,2.0,T_150324_fixed_11_3a_full_tracing
319,0.0,T_150324_fixed_12_3_full_tracing
320,0.0,T_150324_fixed_12_4_full_tracing
321,0.0,T_150324_fixed_13_1_full_tracing
322,4.0,T_150324_fixed_13_1c_full_tracing
323,0.0,T_150324_fixed_14_1_full_tracing
324,1.0,T_150324_fixed_14_2_full_tracing
325,4.0,T_150324_fixed_15_1_full_tracing
326,6.0,T_150324_fixed_16_1_full_tracing
